,City,sql
1,Columbus,"INSERT INTO City (Id, Name, State) VALUES (1, 'Columbus', 'OH')"
2,Cleveland,"INSERT INTO City (Id, Name, State) VALUES (2, 'Cleveland', 'OH')"
3,Cincinnati,"INSERT INTO City (Id, Name, State) VALUES (3, 'Cincinnati', 'OH')"
4,Toledo,"INSERT INTO City (Id, Name, State) VALUES (4, 'Toledo', 'OH')"
5,Akron,"INSERT INTO City (Id, Name, State) VALUES (5, 'Akron', 'OH')"
6,Dayton,"INSERT INTO City (Id, Name, State) VALUES (6, 'Dayton', 'OH')"
7,Parma,"INSERT INTO City (Id, Name, State) VALUES (7, 'Parma', 'OH')"
8,Canton,"INSERT INTO City (Id, Name, State) VALUES (8, 'Canton', 'OH')"
9,Youngstown,"INSERT INTO City (Id, Name, State) VALUES (9, 'Youngstown', 'OH')"
10,Lorain,"INSERT INTO City (Id, Name, State) VALUES (10, 'Lorain', 'OH')"
11,Hamilton,"INSERT INTO City (Id, Name, State) VALUES (11, 'Hamilton', 'OH')"
12,West Chester Township,"INSERT INTO City (Id, Name, State) VALUES (12, 'West Chester Township', 'OH')"
13,Colerain Township,"INSERT INTO City (Id, Name, State) VALUES (13, 'Colerain Township', 'OH')"
14,Green Township,"INSERT INTO City (Id, Name, State) VALUES (14, 'Green Township', 'OH')"
15,Springfield,"INSERT INTO City (Id, Name, State) VALUES (15, 'Springfield', 'OH')"
16,Kettering,"INSERT INTO City (Id, Name, State) VALUES (16, 'Kettering', 'OH')"
17,Elyria,"INSERT INTO City (Id, Name, State) VALUES (17, 'Elyria', 'OH')"
18,Lakewood,"INSERT INTO City (Id, Name, State) VALUES (18, 'Lakewood', 'OH')"
19,Cuyahoga Falls,"INSERT INTO City (Id, Name, State) VALUES (19, 'Cuyahoga Falls', 'OH')"
20,Middletown,"INSERT INTO City (Id, Name, State) VALUES (20, 'Middletown', 'OH')"
21,"Union Township, Clermont County","INSERT INTO City (Id, Name, State) VALUES (21, 'Union Township, Clermont County', 'OH')"
22,Euclid,"INSERT INTO City (Id, Name, State) VALUES (22, 'Euclid', 'OH')"
23,Mentor,"INSERT INTO City (Id, Name, State) VALUES (23, 'Mentor', 'OH')"
24,Beavercreek,"INSERT INTO City (Id, Name, State) VALUES (24, 'Beavercreek', 'OH')"
25,Mansfield,"INSERT INTO City (Id, Name, State) VALUES (25, 'Mansfield', 'OH')"
26,Dublin,"INSERT INTO City (Id, Name, State) VALUES (26, 'Dublin', 'OH')"
27,Strongsville,"INSERT INTO City (Id, Name, State) VALUES (27, 'Strongsville', 'OH')"
28,Cleveland Heights,"INSERT INTO City (Id, Name, State) VALUES (28, 'Cleveland Heights', 'OH')"
29,Fairfield,"INSERT INTO City (Id, Name, State) VALUES (29, 'Fairfield', 'OH')"
30,"Miami Township, Clermont County","INSERT INTO City (Id, Name, State) VALUES (30, 'Miami Township, Clermont County', 'OH')"
31,Findlay,"INSERT INTO City (Id, Name, State) VALUES (31, 'Findlay', 'OH')"
32,"Jackson Township, Stark County","INSERT INTO City (Id, Name, State) VALUES (32, 'Jackson Township, Stark County', 'OH')"
33,Grove City,"INSERT INTO City (Id, Name, State) VALUES (33, 'Grove City', 'OH')"
34,Lancaster,"INSERT INTO City (Id, Name, State) VALUES (34, 'Lancaster', 'OH')"
35,Warren,"INSERT INTO City (Id, Name, State) VALUES (35, 'Warren', 'OH')"
36,Westerville,"INSERT INTO City (Id, Name, State) VALUES (36, 'Westerville', 'OH')"
37,Delaware,"INSERT INTO City (Id, Name, State) VALUES (37, 'Delaware', 'OH')"
38,Huber Heights,"INSERT INTO City (Id, Name, State) VALUES (38, 'Huber Heights', 'OH')"
39,Reynoldsburg,"INSERT INTO City (Id, Name, State) VALUES (39, 'Reynoldsburg', 'OH')"
40,Lima,"INSERT INTO City (Id, Name, State) VALUES (40, 'Lima', 'OH')"
41,"Springfield Township, Hamilton County","INSERT INTO City (Id, Name, State) VALUES (41, 'Springfield Township, Hamilton County', 'OH')"
