Id,City,Count,sql
1,Columbus,"872,205","INSERT INTO Population (CityId, Year, Count) VALUES (1, 2017, 872205)"
2,Cleveland,"385,351","INSERT INTO Population (CityId, Year, Count) VALUES (2, 2017, 385351)"
3,Cincinnati,"299,116","INSERT INTO Population (CityId, Year, Count) VALUES (3, 2017, 299116)"
4,Toledo,"277,116","INSERT INTO Population (CityId, Year, Count) VALUES (4, 2017, 277116)"
5,Akron,"197,412","INSERT INTO Population (CityId, Year, Count) VALUES (5, 2017, 197412)"
6,Dayton,"140,171","INSERT INTO Population (CityId, Year, Count) VALUES (6, 2017, 140171)"
7,Parma,"79,340","INSERT INTO Population (CityId, Year, Count) VALUES (7, 2017, 79340)"
8,Canton,"71,031","INSERT INTO Population (CityId, Year, Count) VALUES (8, 2017, 71031)"
9,Youngstown,"63,889","INSERT INTO Population (CityId, Year, Count) VALUES (9, 2017, 63889)"
10,Lorain,"63,672","INSERT INTO Population (CityId, Year, Count) VALUES (10, 2017, 63672)"
11,Hamilton,"62,094","INSERT INTO Population (CityId, Year, Count) VALUES (11, 2017, 62094)"
12,West Chester Township,"61,386","INSERT INTO Population (CityId, Year, Count) VALUES (12, 2017, 61386)"
13,Colerain Township,"58,996","INSERT INTO Population (CityId, Year, Count) VALUES (13, 2017, 58996)"
14,Green Township,"58,853","INSERT INTO Population (CityId, Year, Count) VALUES (14, 2017, 58853)"
15,Springfield,"58,843","INSERT INTO Population (CityId, Year, Count) VALUES (15, 2017, 58843)"
16,Kettering,"55,152","INSERT INTO Population (CityId, Year, Count) VALUES (16, 2017, 55152)"
17,Elyria,"53,586","INSERT INTO Population (CityId, Year, Count) VALUES (17, 2017, 53586)"
18,Lakewood,"50,151","INSERT INTO Population (CityId, Year, Count) VALUES (18, 2017, 50151)"
19,Cuyahoga Falls,"49,145","INSERT INTO Population (CityId, Year, Count) VALUES (19, 2017, 49145)"
20,Middletown,"48,828","INSERT INTO Population (CityId, Year, Count) VALUES (20, 2017, 48828)"
21,"Union Township, Clermont County","48,214","INSERT INTO Population (CityId, Year, Count) VALUES (21, 2017, 48214)"
22,Euclid,"47,270","INSERT INTO Population (CityId, Year, Count) VALUES (22, 2017, 47270)"
23,Mentor,"46,663","INSERT INTO Population (CityId, Year, Count) VALUES (23, 2017, 46663)"
24,Beavercreek,"46,572","INSERT INTO Population (CityId, Year, Count) VALUES (24, 2017, 46572)"
25,Mansfield,"46,507","INSERT INTO Population (CityId, Year, Count) VALUES (25, 2017, 46507)"
26,Dublin,"46,286","INSERT INTO Population (CityId, Year, Count) VALUES (26, 2017, 46286)"
27,Strongsville,"44,758","INSERT INTO Population (CityId, Year, Count) VALUES (27, 2017, 44758)"
28,Cleveland Heights,"44,525","INSERT INTO Population (CityId, Year, Count) VALUES (28, 2017, 44525)"
29,Fairfield,"42,627","INSERT INTO Population (CityId, Year, Count) VALUES (29, 2017, 42627)"
30,"Miami Township, Clermont County","42,352","INSERT INTO Population (CityId, Year, Count) VALUES (30, 2017, 42352)"
31,Findlay,"41,474","INSERT INTO Population (CityId, Year, Count) VALUES (31, 2017, 41474)"
32,"Jackson Township, Stark County","40,624","INSERT INTO Population (CityId, Year, Count) VALUES (32, 2017, 40624)"
33,Grove City,"40,421","INSERT INTO Population (CityId, Year, Count) VALUES (33, 2017, 40421)"
34,Lancaster,"40,026","INSERT INTO Population (CityId, Year, Count) VALUES (34, 2017, 40026)"
35,Warren,"39,643","INSERT INTO Population (CityId, Year, Count) VALUES (35, 2017, 39643)"
36,Westerville,"39,418","INSERT INTO Population (CityId, Year, Count) VALUES (36, 2017, 39418)"
37,Delaware,"39,315","INSERT INTO Population (CityId, Year, Count) VALUES (37, 2017, 39315)"
38,Huber Heights,"37,996","INSERT INTO Population (CityId, Year, Count) VALUES (38, 2017, 37996)"
39,Reynoldsburg,"37,704","INSERT INTO Population (CityId, Year, Count) VALUES (39, 2017, 37704)"
40,Lima,"37,220","INSERT INTO Population (CityId, Year, Count) VALUES (40, 2017, 37220)"
41,"Springfield Township, Hamilton County","36,571","INSERT INTO Population (CityId, Year, Count) VALUES (41, 2017, 36571)"
42,Marion,"36,230","INSERT INTO Population (CityId, Year, Count) VALUES (42, 2017, 36230)"
43,Hilliard,"36,144","INSERT INTO Population (CityId, Year, Count) VALUES (43, 2017, 36144)"
44,Austintown,"35,303","INSERT INTO Population (CityId, Year, Count) VALUES (44, 2017, 35303)"
45,Gahanna,"35,243","INSERT INTO Population (CityId, Year, Count) VALUES (45, 2017, 35243)"
46,Upper Arlington,"35,214","INSERT INTO Population (CityId, Year, Count) VALUES (46, 2017, 35214)"
47,Brunswick,"34,838","INSERT INTO Population (CityId, Year, Count) VALUES (47, 2017, 34838)"
48,Stow,"34,692","INSERT INTO Population (CityId, Year, Count) VALUES (48, 2017, 34692)"
49,Fairborn,"33,936","INSERT INTO Population (CityId, Year, Count) VALUES (49, 2017, 33936)"
50,North Ridgeville,"33,586","INSERT INTO Population (CityId, Year, Count) VALUES (50, 2017, 33586)"
51,Mason,"33,406","INSERT INTO Population (CityId, Year, Count) VALUES (51, 2017, 33406)"
52,Westlake,"32,330","INSERT INTO Population (CityId, Year, Count) VALUES (52, 2017, 32330)"
53,Bowling Green,"31,779","INSERT INTO Population (CityId, Year, Count) VALUES (53, 2017, 31779)"
54,North Olmsted,"31,779","INSERT INTO Population (CityId, Year, Count) VALUES (54, 2017, 31779)"
55,Kent,"30,270","INSERT INTO Population (CityId, Year, Count) VALUES (55, 2017, 30270)"
56,Delhi Township,"29,619","INSERT INTO Population (CityId, Year, Count) VALUES (56, 2017, 29619)"
57,Sylvania Township,"29,536","INSERT INTO Population (CityId, Year, Count) VALUES (57, 2017, 29536)"
58,"Miami Township, Montgomery County","28,996","INSERT INTO Population (CityId, Year, Count) VALUES (58, 2017, 28996)"
59,Wooster,"27,172","INSERT INTO Population (CityId, Year, Count) VALUES (59, 2017, 27172)"
60,Xenia,"26,331","INSERT INTO Population (CityId, Year, Count) VALUES (60, 2017, 26331)"
61,Medina,"26,199","INSERT INTO Population (CityId, Year, Count) VALUES (61, 2017, 26199)"
62,Barberton,"26,050","INSERT INTO Population (CityId, Year, Count) VALUES (62, 2017, 26050)"
63,Troy,"25,865","INSERT INTO Population (CityId, Year, Count) VALUES (63, 2017, 25865)"
64,Athens,"25,526","INSERT INTO Population (CityId, Year, Count) VALUES (64, 2017, 25526)"
65,Zanesville,"25,457","INSERT INTO Population (CityId, Year, Count) VALUES (65, 2017, 25457)"
66,Sandusky,"24,861","INSERT INTO Population (CityId, Year, Count) VALUES (66, 2017, 24861)"
67,Trotwood,"24,308","INSERT INTO Population (CityId, Year, Count) VALUES (67, 2017, 24308)"
68,Avon Lake,"23,839","INSERT INTO Population (CityId, Year, Count) VALUES (68, 2017, 23839)"
69,Centerville,"23,782","INSERT INTO Population (CityId, Year, Count) VALUES (69, 2017, 23782)"
70,Wadsworth,"23,388","INSERT INTO Population (CityId, Year, Count) VALUES (70, 2017, 23388)"
71,Solon,"23,023","INSERT INTO Population (CityId, Year, Count) VALUES (71, 2017, 23023)"
72,Willoughby,"22,857","INSERT INTO Population (CityId, Year, Count) VALUES (72, 2017, 22857)"
73,Fairfield Township,"22,524","INSERT INTO Population (CityId, Year, Count) VALUES (73, 2017, 22524)"
74,Oxford,"22,459","INSERT INTO Population (CityId, Year, Count) VALUES (74, 2017, 22459)"
75,Hudson,"22,248","INSERT INTO Population (CityId, Year, Count) VALUES (75, 2017, 22248)"
76,Alliance,"21,838","INSERT INTO Population (CityId, Year, Count) VALUES (76, 2017, 21838)"
77,Perrysburg,"21,732","INSERT INTO Population (CityId, Year, Count) VALUES (77, 2017, 21732)"
78,Chillicothe,"21,695","INSERT INTO Population (CityId, Year, Count) VALUES (78, 2017, 21695)"
79,South Euclid,"21,628","INSERT INTO Population (CityId, Year, Count) VALUES (79, 2017, 21628)"
